tmdb_id,provider_id
354912,337
335983,"356,97"
3933,"8,97,1796"
157336,"83,561,796"
299536,337
7451,97
122,"81,193,561,796"
626332,337
98,"8,356,97,1796"
671,356
872585,"81,796"
238,"81,796"
120,"8,119,356,97,1796"
278,356
9479,337
12153,"8,97,1796"
8681,"81,796"
293660,337
198663,337
24428,337
9806,337
672,356
273477,356
420818,337
862,337
475557,"81,796"
216015,356
411,337
260514,337
76600,337
585083,119
603692,97
673,356
121,"81,193,561,796"
22,337
10138,337
474350,"81,796"
299534,337
10439,337
808,119
4011,97
597,"83,371,796"
177572,337
767,356
119450,337
8587,337
49026,"83,561,796"
150540,337
508947,337
493529,"81,796"
109445,337
10483,356
284053,337
863,337
12155,337
259693,"81,796"
370663,356
263115,337
58,337
12445,356
545609,"81,796"
105,"119,97"
22683,"81,796"
550,"337,356"
337167,"356,97"
566525,337
18785,"81,796"
12444,356
674,356
49051,97
568124,337
228326,337
111,356
131631,"356,97,701"
10625,"8,97,1796"
11970,337
260346,337
38757,337
5255,"81,796"
585,337
675,356
809,119
50620,"81,796"
2758,"81,796"
155,"83,561,796"
72190,"8,97,1796"
493922,"8,97,1796"
1008042,356
4232,"81,796"
447365,337
22894,"81,796"
302699,"8,119,97,1796"
2048,337
346364,"81,796"
976573,337
11036,"83,561,796"
524434,337
2062,337
198184,"8,97,1796"
321612,337
150689,337
11688,337
1865,337
424139,"81,796"
214756,119
241259,337
118,"83,561,796"
985939,"8,356,97,1796"
4258,356
447277,337
109418,97
439079,"81,796"
772,337
497698,337
19995,337
245891,"8,97,1796"
10198,337
138843,"8,97,1796"
345887,97
447332,"81,796"
106,337
1024530,337
9880,337
1930,"8,97,1796"
10195,337
420809,337
228150,"8,356,97,1796"
680,"81,796"
12230,337
9820,337
301528,337
339964,"97,701"
257211,"8,356,97,1796"
10681,337
336843,337
294272,337
209112,"8,97,1796"
297762,"81,796"
429617,"83,561,796"
12,337
76341,356
285,337
296096,97
557,"8,356,97,1796"
615777,"81,796"
505642,337
384018,"81,193,561,796"
335984,"8,356,97,1796"
8966,"8,97,1796"
603,97
1094844,356
293167,"83,561,796"
792307,337
383498,337
10020,337
408,337
521029,"81,796"
13683,337
244786,"8,356,97,1796"
98566,"81,796"
550988,337
283995,337
4922,97
102382,"81,796"
453395,337
884605,"81,796"
646389,97
99861,337
23398,337
353491,97
419430,"8,356,97,1796"
616037,337
4234,"81,796"
348,337
269149,337
637649,"81,796"
27205,"8,356,97,1796"
141052,"81,796"
300669,"8,356,97,1796"
632727,"81,796"
522402,350
399579,337
38365,"8,97,1796"
122906,"8,356,97,1796"
405775,119
13,97
559,"8,356,97,1796"
294254,337
45243,"81,796"
1726,337
424,"356,97"
588228,119
425,337
11,337
8871,119
324786,"356,97"
126889,337
9792,337
1124,97
652,"81,796"
50619,"81,796"
337404,337
14160,337
200727,"8,97,1796"
260513,337
11324,97
854,"81,796"
270946,"119,356"
49013,337
19913,337
10144,337
